 Ticker,Description,Total Revenue (FY),Gross Profit (FY),Net Income (FY),Industry
KEY,KeyCorp,8033000000,,1917000000,Major Banks
SHWZ,Medicine Man Technologies Inc.,159379219,56987117,-18467615,Agricultural Commodities/Milling
TUSK,"Mammoth Energy Services, Inc.",362086000,19228000,-619000,Oilfield Services/Equipment
LCII,LCI Industries,5207143000,1210271000,394974000,Miscellaneous Manufacturing
BOTJ,"Bank of the James Financial Group, Inc.",44883000,,8959000,Regional Banks
BXC,Bluelinx Holdings Inc.,4450214000,805371000,296176000,Wholesale Distributors
HUT,HUT 8 CORP,111158111.4,-29717506.8,-179123150.1,Data Processing Services
MNTX,"Manitex International, Inc.",273854000,50019000,-4901000,Trucks/Construction/Farm Machinery
ACCD,"Accolade, Inc.",363142000,118885000,-459650000,Information Technology Services
OVLY,Oak Valley Bancorp (CA),66291000,,22902000,Regional Banks
RMR,The RMR Group Inc.,962316000,168458000,56496000,Financial Conglomerates
OWLT,"Owlet, Inc.",69202000,23313000,-79336000,Electronics/Appliances
MKULQ,"Molekule Group, Inc.",227186,-171717,-6168931,Industrial Machinery
UVV,Universal Corporation,2569824000,453816000,124052000,Tobacco
MBIO,"Mustang Bio, Inc.",0,-3031000,-77525000,Pharmaceuticals: Major
ANTX,"AN2 Therapeutics, Inc.",0,-77000,-40956000,Biotechnology
SCL,Stepan Company,2773270000,427060000,147153000,Chemicals: Specialty
ALCO,"Alico, Inc.",39846000,6446000,1835000,Agricultural Commodities/Milling
ORA,AURA MINERALS INC (VG),377139212.548007,104409340.92162643,54132627.92744815,Precious Metals
OMF,"OneMain Holdings, Inc.",5091000000,4403000000,878000000,Finance/Rental/Leasing
SENS,"Senseonics Holdings, Inc.",16389000,2726000,142119000,Electronic Components
BDVB,"Bagger Dave's Burger Tavern, Inc.",7679411,-934059,-887626,Restaurants
VYGR,"Voyager Therapeutics, Inc.",40907000,34716000,-46408000,Biotechnology
ASLE,AerSale Corporation,408544000,151394000,43861000,Wholesale Distributors
CFLT,"Confluent, Inc.",585944000,383529000,-452551000,Packaged Software
NKSH,"National Bankshares, Inc.",63102000,,25932000,Major Banks
GME,GameStop Corporation,5927200000,1311800000,-313100000,Electronics/Appliance Stores
RGLS,Regulus Therapeutics Inc.,0,-122000,-28323000,Pharmaceuticals: Major
H,Hyatt Hotels Corporation,5816000000,787000000,455000000,Hotels/Resorts/Cruise lines
LGL,"LGL Group, Inc. (The)",1655000,818000,-2992000,Electronic Production Equipment
BBGI,"Beasley Broadcast Group, Inc.",256381017.99999997,33224409,-42057430,Broadcasting
ASRT,"Assertio Holdings, Inc.",156234000,104878000,109625000,Pharmaceuticals: Major
EFSC,Enterprise Financial Services Corporation,574244000,,203043000,Regional Banks
RCKY,"Rocky Brands, Inc.",615475000,225219000,20465000,Apparel/Footwear
LTRY,"Lottery.com, Inc.",6779057,-40247552,-60003349,Movies/Entertainment
RSSS,"Research Solutions, Inc",37703452,14648242,571623,Miscellaneous Commercial Services
EXPE,"Expedia Group, Inc.",11667000000,9218000000,352000000,Other Consumer Services
HTL,HAMILTON THORNE LTD,55872895.97362155,25716281.79558941,1834891.14222075,Miscellaneous
SFM,"Sprouts Farmers Market, Inc.",6404223000,2225034000,261164000,Food Retail
OB,Outbrain Inc.,992082000,192653000,-24581000,Packaged Software
NTCT,"NetScout Systems, Inc.",914530000,617222000,59648000,Packaged Software
IBKR,"Interactive Brokers Group, Inc.",4185000000,3777000000,380000000,Investment Banks/Brokers
VSTM,"Verastem, Inc.",0,-118000,-73812000,Biotechnology
TREP,"Trucept, Inc.",20108666.0000323,13748546.0000221,1515012.00000243,Miscellaneous Commercial Services
AVRO,"AVROBIO, Inc.",0,-4166000,-105890000,Biotechnology
TRUX,Truxton Corp,49216000,,16278000,Regional Banks
TFC,Truist Financial Corporation,25564000000,,6260000000,Regional Banks
GM,General Motors Company,156735000000,30781000000,9934000000,Motor Vehicles
KNSA,"Kiniksa Pharmaceuticals, Ltd.",220180000,168994000,183363000,Pharmaceuticals: Major
OGS,"ONE Gas, Inc.",2578005000,418174000,221742000,Gas Distributors
SCPH,scPharmaceuticals Inc.,0,-468000,-36838000,Pharmaceuticals: Major
WBS,Webster Financial Corporation,2698610000,,638611000,Savings Banks
NTNX,"Nutanix, Inc.",1862895000,1530281000,-254560000,Packaged Software
UBSI,"United Bankshares, Inc.",1105090000,,378624000,Regional Banks
CPB,Campbell Soup Company,9357000000,2893000000,858000000,Food: Major Diversified
ESCA,"Escalade, Incorporated",313757000,71080000,17989000,Recreational Products
BCO,Brinks Company (The),4535500000,1073599999.9999998,170600000,Miscellaneous Commercial Services
ON,ON Semiconductor Corporation,8326200000.000001,3996000000,1902200000,Semiconductors
BCPC,Balchem Corporation,942358000,280451000,105367000,Food: Specialty/Candy
GRNL,"Greenlite Ventures, Inc.",,,,Wholesale Distributors
OFS,OFS Capital Corporation,46859000,36369000,-7586000,Investment Managers
IDCC,"InterDigital, Inc.",457794000,201173000,93693000,Packaged Software
VRRM,Verra Mobility Corporation,741598000,555652000,92475000,Other Transportation
ZVRA,"Zevra Therapeutics, Inc.",10458000,9171000,-41543000,Pharmaceuticals: Major
REPX,"Riley Exploration Permian, Inc.",321743000,235417000,118011000,Integrated Oil
OLO,Olo Inc.,185404000,127893000,-45968000,Packaged Software
HUBG,"Hub Group, Inc.",5340490000,578654000,356948000,Air Freight/Couriers
SMRT,"SmartRent, Inc.",167821000,1269000.00000001,-96322000,Computer Communications
JELD,"JELD-WEN Holding, Inc.",5129179000,938751000,45727000,Forest Products
ALOT,"AstroNova, Inc.",142527000,48156000,2661000,Computer Peripherals
BFRI,Biofrontera Inc.,28674000,12317000,-640000,Pharmaceuticals: Major
AMR,"Alpha Metallurgical Resources, Inc.",4101591999.999999,1664740000,1448545000,Coal
SFIX,"Stitch Fix, Inc.",1638423000,648778000,-171973000,Apparel/Footwear Retail
HRMY,"Harmony Biosciences Holdings, Inc.",437855000,331408000,181468000,Pharmaceuticals: Major
CTSO,Cytosorbents Corporation,34688809,20733057,-32812583,Medical Specialties
QBAK,Qualstar Corp.,9845000,2659000,55000,Computer Peripherals
ALHC,"Alignment Healthcare, Inc.",1434159000,,-149547000,Managed Health Care
RVIV,Reviv3 Procare Co.,23521027,16362972,1824575,Household/Personal Care
TRU,TransUnion,3709900000,1968000000,261700000,Financial Publishing/Services
NIC,Nicolet Bankshares Inc.,331838000,,94260000,Major Banks
FWRG,"First Watch Restaurant Group, Inc.",730162000,105687000,6907000,Restaurants
TPIC,"TPI Composites, Inc.",1522741000,12567000,-65305000.00000001,Electrical Products
REZI,"Resideo Technologies, Inc.",6370000000,1731000000,283000000,Electronics Distributors
COLL,"Collegium Pharmaceutical, Inc.",463933000,211590000,-25002000,Pharmaceuticals: Major
FYBR,"Frontier Communications Parent, Inc.",5787000000,2436000000,441000000,Major Telecommunications
CBNK,"Capital Bancorp, Inc.",180201000,,41804000,Major Banks
AKBA,"Akebia Therapeutics, Inc.",292484000,205262000,-94226000,Pharmaceuticals: Major
KMPR,Kemper Corporation,5602600000,,-301200000,Property/Casualty Insurance
IVZ,Invesco Ltd,5922000000,3840500000,920700000,Investment Managers
TMHC,Taylor Morrison Home Corporation,8224916999.999999,2084766000,1052800000,Homebuilding
ANGO,"AngioDynamics, Inc.",338752000,155456000,-52442000,Medical Specialties
SF,Stifel Financial Corporation,4580834000,4306236000,662155000,Investment Managers
CRI,"Carter's, Inc.",3212733000,1472358000,246324000,Apparel/Footwear Retail
WEAV,"Weave Communications, Inc.",142117000,88641000,-49738000,Packaged Software
FHN,First Horizon Corporation,3447000000,,900000000,Regional Banks
NWBI,"Northwest Bancshares, Inc.",558362000,,133080999.99999999,Savings Banks
SOM,SOMERO ENTERPRISES INC COM STK USD0.001 (DI),131162806.96578927,72222508.55300939,30553599.7452533,Trucks/Construction/Farm Machinery
WTFC,Wintrust Financial Corporation,2244698000,,509682000,Regional Banks
NOVT,Novanta Inc.,860903000.001382,355205000.00057,74051000.00011891,Electronic Equipment/Instruments
ABM,ABM Industries Incorporated,7806600000,977000000.000001,230400000,Miscellaneous Commercial Services
BSIG,BrightSphere Investment Group Inc.,421600000,402600000,100600000,Investment Managers
FNCB,FNCB Bancorp Inc. Common Stock,68757000,,20445000,Regional Banks
VRNO,VERANO HOLDINGS CORP.,844567338.3055897,394517240.1239752,-258499000.52272055,Agricultural Commodities/Milling
SCI,Service Corporation International,4108661000,1154602000,565338000,Other Consumer Services
SGU,Star Group L.P.,1952862000,455685000,29057000,Oil Refining/Marketing
IRDM,Iridium Communications Inc,721034000,216401000,8722000,Specialty Telecommunications
BUDZ,"WEED, Inc.",0,-111426,-1528105,Agricultural Commodities/Milling
STAA,STAAR Surgical Company,284391000,223383000,38755000,Medical Specialties
ETRN,Equitrans Midstream Corporation,1357747000,866066000,-269342000,Oil & Gas Pipelines
CLAR,Clarus Corporation,444982000,134259000,-69780000,Recreational Products
GSIT,"GSI Technology, Inc.",29691000,17681000,-15977000,Semiconductors
WABC,Westamerica Bancorporation,265947000,,122034000,Regional Banks
THFF,First Financial Corporation Indiana,230017000,,71109000,Major Banks
ELVN,"Enliven Therapeutics, Inc.",0,-622000,1488000,Biotechnology
HBAN,Huntington Bancshares Incorporated,7879000000,,2238000000,Major Banks
FLT,"FleetCor Technologies, Inc.",3427129000,2474308000,954327000,Miscellaneous Commercial Services
ESAB,ESAB Corporation,2593480000,849930000,223747000,Industrial Machinery
FFMR,First Farmers Financial Corp,121488000,,41277000,Regional Banks
FTAI,FTAI Aviation Ltd.,722324000,222722000,-193210000,Investment Managers
PEGY,Pineapple Energy Inc.,27522099,4243985,-10352240,Engineering & Construction
FGF,"FG Financial Group, Inc.",12477000,,1088000,Property/Casualty Insurance
GBLX,"GB Sciences, Inc.",0,-61660,-4125194,Biotechnology
HOMB,"Home BancShares, Inc.",1054134000,,305262000,Regional Banks
SPSC,"SPS Commerce, Inc.",450875000,286042000,55134000,Packaged Software
FRPH,"FRP Holdings, Inc.",37481000,15074000,4565000,Real Estate Development
UMBF,UMB Financial Corporation,1699471000,,431682000,Major Banks
CCBG,Capital City Bank Group,228307000,,40147000,Regional Banks
JBSS,"John B. Sanfilippo & Son, Inc.",999686000,209864000,62857000,Food: Specialty/Candy
BANF,BancFirst Corporation,593240000,,193100000,Regional Banks
ANNX,"Annexon, Inc.",0,-3311000,-141947000,Pharmaceuticals: Major
OFIX,Orthofix Medical Inc.,460713000.0046221,328973000.003301,-19749000.0001981,Medical Specialties
OBK,"Origin Bancorp, Inc.",391511000,,87715000,Regional Banks
SVT,"Servotronics, Inc.",43821000,5944000,-2117000,Electrical Products
TRN,"Trinity Industries, Inc.",1977300000,366300000,65800000,Trucks/Construction/Farm Machinery
DASH,"DoorDash, Inc.",6583000000,2626000000,-1365000000,Air Freight/Couriers
AMD,"Advanced Micro Devices, Inc.",23601000000,8503000000,1320000000,Semiconductors
LPCN,Lipocine Inc.,500000,490547,-10758636,Pharmaceuticals: Major
TFIN,"Triumph Financial, Inc.",503307000,,102311000,Savings Banks
UFPT,"UFP Technologies, Inc.",353792000,90260000,41789000,Industrial Specialties
ANDE,"The Andersons, Inc.",17325384000,670631000,103989000,Miscellaneous Commercial Services
XBIT,XBiotech Inc.,4010000,745000,-32900000,Biotechnology
CARR,Carrier Global Corporation,20421000000,5473000000,3534000000,Industrial Machinery
NCNO,"nCino, Inc.",408315000,223198000,-102720000,Packaged Software
LIND,Lindblad Expeditions Holdings Inc.,421500000,94241000,-111381000,Other Consumer Services
GAIA,"Gaia, Inc.",82035000,55182000,-3095000,Miscellaneous Commercial Services
RYZB,"RayzeBio, Inc.",0,-1531000,-68600000,Biotechnology
CSUI,Cannabis Suisse Corp.,10000,-3410,-351547.00000002,Pulp & Paper
HY,"Hyster-Yale Materials Handling, Inc.",3548300000,501100000,-74100000,Industrial Machinery
VII,7GC & Co. Holdings Inc.,0,0,9438181,Financial Conglomerates
KLDI,KLDiscovery Inc.,317432000,132384999.99999999,-43174000,Information Technology Services
CRSR,"Corsair Gaming, Inc.",1375098000,263111000,-60924000,Packaged Software
PIPR,Piper Sandler Companies,1431587000,1295325000,110674000,Investment Banks/Brokers
MSGE,Madison Square Garden Entertainment Corp.,851496000,291104000,76597000,Movies/Entertainment
TELA,"TELA Bio, Inc.",41418000,27044000,-44296000,Medical Specialties
EVBN,"Evans Bancorp, Inc.",98753000,,22389000,Major Banks
AEMD,"Aethlon Medical, Inc.",574245,308945,-12029786,Medical Specialties
ULH,"Universal Logistics Holdings, Inc.",2015456000,286963000,168632000,Trucking
AVNW,"Aviat Networks, Inc.",346593000,123467000,11528000,Telecommunications Equipment
RICK,"RCI Hospitality Holdings, Inc.",267620000,150773000,46041000,Restaurants
CAUD,"Collective Audience, Inc.",0,0,-2500184,Data Processing Services
GMS,GMS Inc.,5329252000,1599038000,332991000,Wholesale Distributors
VERI,"Veritone, Inc.",149728000,99804000,-25557000,Advertising/Marketing Services
NPWR,NET Power Inc.,0,0,4065122,Electrical Products
GESI,GENERAL EUROPEAN STRATEGIC INVTS INC.,0,-654,-762208,Alternative Power Generation
LPRO,Open Lending Corporation,179594000,158132000,66620000.00000001,Packaged Software
GRPS,"Gold River Productions, Inc.",1204810,-6306,-28968,Pharmaceuticals: Other
STCB,"Starco Brands, Inc.",7812728,5861334,809967,Advertising/Marketing Services
CNDT,Conduent Incorporated,3858000000,610000000,-182000000,Miscellaneous Commercial Services
JPEX,"JPX Global, Inc.",,,,Other Metals/Minerals
ENVX,Enovix Corporation,6202000,-17037000,-51622000,Electrical Products
BPMC,Blueprint Medicines Corporation,204036000,157176000,-557517000,Biotechnology
TPB,"Turning Point Brands, Inc.",415013000,205438000,11641000,Tobacco
AOSL,Alpha and Omega Semiconductor Limited,691321000.000342,199536000.000099,12364000.0000061,Semiconductors
MBUU,"Malibu Boats, Inc.",1388365000,344487000,104513000,Recreational Products
TTOO,"T2 Biosystems, Inc.",22305000,1355000,-62003000,Medical Specialties
SEER,"Seer, Inc.",14685000,384000,-92966000,Biotechnology
CERS,Cerus Corporation,162048000,84594000,-42779000,Medical Specialties
KEYS,Keysight Technologies Inc.,5464000000,3532000000,1057000000,Electronic Equipment/Instruments
TPII,"Triad Pro Innovators, Inc.",146424,60810,-1679264,Industrial Machinery
GEVO,"Gevo, Inc.",1175000,-20009000,-98007000,Chemicals: Specialty
NVR,"NVR, Inc.",10348093000,2685823000,1725575000,Homebuilding
DM,"Desktop Metal, Inc.",209023000,115999.99999999,-740343000,Computer Peripherals
BCAL,Southern California Bancorp,98018000,,16113000,Major Banks
CSGS,"CSG Systems International, Inc.",1089752000,500986000,44060000,Data Processing Services
GNLN,"Greenlane Holdings, Inc.",137085000,-15374000,-115760000,Wholesale Distributors
AEON,"AEON Biopharma, Inc.",0,0,6375345,Pharmaceuticals: Major
MAPS,"WM Technology, Inc.",215531000,188626000,-115989000,Internet Software/Services
DKS,Dick's Sporting Goods Inc,12368198000,4285258000,1043137999.9999998,Specialty Stores
CAKE,The Cheesecake Factory Incorporated,3303156000,307372000,43123000,Restaurants
GAN,GAN Limited,141528000.000265,78083600.00014621,-197498000.00037003,Packaged Software
TWI,"Titan International, Inc. (DE)",2169380000,360710000,176302000,Auto Parts: OEM
GNW,Genworth Financial Inc,7507000000,,609000000,Life/Health Insurance
ARL,"American Realty Investors, Inc.",37544000,766000,373349000,Real Estate Development
MGNX,"MacroGenics, Inc.",151941000,132692000,-119758000,Pharmaceuticals: Major
EAF,GrafTech International Ltd.,1281250000,545400000,382962000,Electrical Products
PRCT,PROCEPT BioRobotics Corporation,75014000,37085000,-87154000,Medical Specialties
HROW,"Harrow, Inc.",88595000,63212000,-14086000,Pharmaceuticals: Major
USB,U.S. Bancorp,27402000000,,5797000000,Major Banks
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",1140568000,299108000,23243000,Food Retail
C,"Citigroup, Inc.",101593000000,,14732000000,Major Banks
AGAE,Allied Gaming & Entertainment Inc.,6352470,-817051,-10823885,Movies/Entertainment
HBI,Hanesbrands Inc.,6233650000,2210240000,-126831000,Apparel/Footwear
DVA,DaVita Inc.,11609894000,2667739000,546948000,Medical/Nursing Services
CDLX,"Cardlytics, Inc. Common Stock",298542000,105491000,-465264000,Internet Software/Services
AVNT,Avient Corporation,3396900000,905500000,153000000,Chemicals: Major Diversified
OLN,Olin Corporation,9376200000,2122699999.9999995,1326900000,Industrial Specialties
LGND,Ligand Pharmaceuticals Incorporated,196245000,119145000,-33361000,Pharmaceuticals: Major
TTGT,"TechTarget, Inc.",297488000,206158000,41609000,Internet Software/Services
SEAS,"SeaWorld Entertainment, Inc.",1731237000,714913000,291190000,Movies/Entertainment
AEO,"American Eagle Outfitters, Inc.",4989833000,1542751000,125136000,Apparel/Footwear Retail
IVFH,"Innovative Food Holdings, Inc.",80102964,18126127,-1350002,Other Transportation
EZPW,"EZCORP, Inc.",1049040999.9999998,577707000,38463000,Finance/Rental/Leasing
AMRC,"Ameresco, Inc.",1824422000,286861000,94810000,Engineering & Construction
DSGR,"Distribution Solutions Group, Inc.",1151422000,361798000,7406000,Wholesale Distributors
CLH,"Clean Harbors, Inc.",5166605000,1262138000,411744000,Environmental Services
HLNE,Hamilton Lane Incorporated,528753000.00000006,,112928000,Investment Managers
FKYS,First Keystone Corp.,51744000,,14024000,Regional Banks
DAWN,"Day One Biopharmaceuticals, Inc.",0,-531000,-142181000,Pharmaceuticals: Major
KULR,"KULR Technology Group, Inc.",3994634,2144464,-19436479,Industrial Machinery
GCI,"Gannett Co., Inc.",2945303000,915428000,-78002000,Publishing: Newspapers
LVO,"LiveOne, Inc.",99611000,24974000,-10019000,Commercial Printing/Forms
SRI,"Stoneridge, Inc.",899923000,166351000,-14056000,Auto Parts: OEM
NVEE,"NV5 Global, Inc.",786778000,347036000,49973000,Engineering & Construction
SXT,Sensient Technologies Corporation,1437039000,489111000,140887000,Food: Specialty/Candy
LCTX,"Lineage Cell Therapeutics, Inc.",14703000,13248000,-26273000,Biotechnology
TDOC,"Teladoc Health, Inc.",2406840000,1406826000,-13659531000,Medical/Nursing Services
PBYI,Puma Biotechnology Inc,228031000,172938000,2000,Pharmaceuticals: Major
UNTC,Unit Corp.,545525000,260257000,148369000,Gas Distributors
AMS,American Shared Hospital Services,19746000,8325000,1328000,Finance/Rental/Leasing
CNVS,Cineverse Corp.,68026000,27899000,-9733000,Movies/Entertainment
TSG,TRISTAR GOLD INC,0,-1920.75463675,-928872.14044439,Precious Metals
PTC,PTC Inc.,2097053000,1616025000,245540000,Packaged Software
TPR,"Tapestry, Inc.",6660900000,4721200000,936000000,Apparel/Footwear Retail
RUM,Rumble Inc.,39384284,-5917290,-11403994,Internet Software/Services
AES,The AES Corporation,12618000000,2548000000,-546000000,Electric Utilities
SBGI,"Sinclair, Inc.",3928000000,1531000000,2652000000,Broadcasting
IRWD,"Ironwood Pharmaceuticals, Inc.",410596000,409178000,175065000,Pharmaceuticals: Major
TNYA,"Tenaya Therapeutics, Inc.",0,-8713000,-123665000,Pharmaceuticals: Major
CTBI,"Community Trust Bancorp, Inc.",254992000,,81814000,Regional Banks
PRIM,Primoris Services Corporation,4420599000,456885000,133020999.99999999,Engineering & Construction
CMTG,"Claros Mortgage Trust, Inc.",317786000,228302000,112064000,Real Estate Investment Trusts
PWR,"Quanta Services, Inc.",17073902999.999998,2175182000,491189000,Engineering & Construction
MRCY,Mercury Systems Inc,973882000,263243000,-28335000,Aerospace & Defense
MIND,"MIND Technology, Inc.",35091000,11088000,-8832000,Oilfield Services/Equipment
MSEX,Middlesex Water Company,162434000,60309000,42429000,Water Utilities
HLI,"Houlihan Lokey, Inc.",1809837000,,254223000,Investment Banks/Brokers
KFY,Korn Ferry,2863836000,627371000,204911000,Personnel Services
COF,Capital One Financial Corporation,38232000000,,7272000000,Major Banks
CTMX,"CytomX Therapeutics, Inc.",53163000,47307000,-99317000,Pharmaceuticals: Major
CIVB,"Civista Bancshares, Inc.",150329000,,38929000,Regional Banks
COOP,Mr. Cooper Group Inc.,2492000000,,923000000,Finance/Rental/Leasing
RM,Regional Management Corp.,507187000,494498000,51224000,Finance/Rental/Leasing
GOVB,"Gouverneur Bancorp, Inc.",5217000,,1527000,Savings Banks
OC,Owens Corning Inc,9761000000,2710000000,1241000000,Containers/Packaging
FCEL,"FuelCell Energy, Inc.",130484000.00000001,-27793000,-142722000,Electronic Equipment/Instruments
MEDS,"TRxADE HEALTH, Inc.",11448265,5451216,-3472099,Miscellaneous Commercial Services
KLG,WK Kellogg Co,,,,Food: Specialty/Candy
AMSC,American Superconductor Corporation,105984000,5775000,-35041000,Electrical Products
AZPN,"Aspen Technology, Inc.",1044178000.0000002,417945000,-107760000,Packaged Software
MAS,Masco Corporation,8680000000,2713000000,842000000,Building Products
CRDF,"Cardiff Oncology, Inc.",386000,186000,-38704000,Medical Specialties
CASH,"Pathward Financial, Inc.",705334000,,161162000,Major Banks
ATRI,Atrion Corporation,183506000,75904000,35008000,Medical Specialties
RBCAA,"Republic Bancorp, Inc.",323216000,,91106000,Regional Banks
HUMA,"Humacyte, Inc.",0,-8255000,-11965000,Biotechnology
MCVT,"Mill City Ventures III, Ltd.",4332472,,106958,Finance/Rental/Leasing
AMPG,"Amplitech Group, Inc.",19394492,8924864,-677107,Electronic Production Equipment
BA,Boeing Company (The),66607000000,3463000000,-4935000000,Aerospace & Defense
MATV,"Mativ Holdings, Inc.",2167400000,438400000,-7500000,Chemicals: Specialty
BIPC,Brookfield Infrastructure Corporation,1811271622.449762,1290747115.8920908,1050652786.2990698,Gas Distributors
ETSY,"Etsy, Inc.",2566111000,1821519000,-694288000,Internet Retail
NARI,"Inari Medical, Inc.",383471000,334667000,-29267000,Medical Specialties
LILA,Liberty Latin America Ltd.,4815100000.000051,2382500000.00002,-175600000.00000203,Major Telecommunications
FARO,"FARO Technologies, Inc.",345765000,175763000,-26756000,Industrial Machinery
CVEO,Civeo Corporation (Canada),697052000.001119,92775000.00014903,-1192000.00000191,Hotels/Resorts/Cruise lines
LXU,"LSB Industries, Inc.",901711000,348367000,230347000,Chemicals: Agricultural
ATNI,"ATN International, Inc.",725745000,248934000,-5645000,Major Telecommunications
VWFB,"VWF Bancorp, Inc.",5262454,,-545384,Savings Banks
FGBI,"First Guaranty Bancshares, Inc.",147192000,,28884000,Regional Banks
FEIM,"Frequency Electronics, Inc.",40777000,7849000,-5501000,Telecommunications Equipment
VIAV,Viavi Solutions Inc.,1106100000,630100000,25500000,Information Technology Services
PRDO,Perdoceo Education Corporation,695208000,558751000,95867000,Other Consumer Services
BL,"BlackLine, Inc.",522938000,385137000,-29391000,Packaged Software
CBDS,"Cannabis Sativa, Inc.",1558752,39720,-1127101,Internet Software/Services
KLYG,"Kelyniam Global, Inc.",3017599,2195978,-97560,Medical Specialties
UTL,UNITIL Corporation,563200000,106400000,41400000,Electric Utilities
ALB,Albemarle Corporation,7320104000,3085587000,2689816000,Chemicals: Specialty
RPRX,Royalty Pharma plc,2237215000,2231545000,42832000,Pharmaceuticals: Major
RKFL,"RocketFuel Blockchain, Inc.",203199,-314213,-3778424,Packaged Software
VRTS,"Virtus Investment Partners, Inc.",834594000,656333000,117541000,Investment Managers
KRMD,"KORU Medical Systems, Inc.",27896037,14781849,-8661142,Medical Specialties
PGNY,"Progyny, Inc.",786913000,167325000,30358000,Miscellaneous Commercial Services
NPK,"National Presto Industries, Inc.",321623000,54543000,20699000,Aerospace & Defense
CHCO,City Holding Company,263291000,,101113000,Major Banks
BOLT,"Bolt Biotherapeutics, Inc.",5729000,838000,-88098000,Pharmaceuticals: Major
SWKH,SWK Holdings Corporation,41333000,31782000,13491000,Finance/Rental/Leasing
OBT,"Orange County Bancorp, Inc.",96219000,,24363000,Regional Banks
SHC,Sotera Health Company,1003687000,494064000,-233570000,Medical Specialties
NWN,Northwest Natural Holding Company,1037353000.0000002,134056000.00000001,86303000,Gas Distributors
MP,MP Materials Corp.,527510000,415459000,289004000,Other Metals/Minerals
FIVN,"Five9, Inc.",778846000,402328000,-94650000,Packaged Software
NMRK,"Newmark Group, Inc.",2615304000,,83275000,Real Estate Development
CMPX,"Compass Therapeutics, Inc.",0,-1904000,-39225000,Pharmaceuticals: Major
SYNA,Synaptics Incorporated,1355100000,680500000,73600000,Semiconductors
IOVA,"Iovance Biotherapeutics, Inc.",0,-21135000,-395893000,Biotechnology
INPX,Inpixon,19418000,8518000,-63394000,Information Technology Services
DNA,"Ginkgo Bioworks Holdings, Inc.",477706000,211856000,-2104929000,Medical/Nursing Services
NX,Quanex Building Products Corporation,1221502000,228389000,88336000,Building Products
DOCS,"Doximity, Inc.",419052000,365562000,112818000,Packaged Software
CTS,CTS Corporation,586869000,209614000,59575000,Electronic Production Equipment
RVMD,"Revolution Medicines, Inc.",35380000,25724000,-248705000,Pharmaceuticals: Other
SRCE,1st Source Corporation,383663000,,119514000,Regional Banks
AMPS,"Altus Power, Inc.",101163000,41027000,55004000,Alternative Power Generation
LSCC,Lattice Semiconductor Corporation,660356000,422727000,178882000,Semiconductors
GHSI,"Guardion Health Sciences, Inc.",11049772,4461598,-14922228,Pharmaceuticals: Other
SRDX,"Surmodics, Inc.",132584000,104082000,-1536000,Medical Specialties
EXTR,"Extreme Networks, Inc.",1312454000,752673000,78074000,Computer Peripherals
TRUE,"TrueCar, Inc.",161524000,128791000,-118685000,Internet Software/Services
HI,Hillenbrand Inc,2825900000,869200000,126600000,Industrial Conglomerates
MJNE,"MJ Holdings, Inc.",362313,131697,-5380241,Agricultural Commodities/Milling
KMT,Kennametal Inc.,2078184000.0000005,633815000,118459000,Industrial Machinery
CC,Chemours Company (The),6794000000,1635000000,578000000,Chemicals: Specialty
PGEN,"Precigen, Inc.",26909000,15772000,-66385000.00000001,Biotechnology
USPH,"U.S. Physical Therapy, Inc.",553144000,102829000,29262000,Medical/Nursing Services
APEI,"American Public Education, Inc.",606328000,285729000,-114993000,Other Consumer Services
PLRX,"Pliant Therapeutics, Inc.",9685000,6004000,-123321000,Biotechnology
OCC,Optical Cable Corporation,69079263,20459346,-347091,Telecommunications Equipment
SEMR,"SEMrush Holdings, Inc.",254316000,205763000,-33848000,Packaged Software
IART,Integra LifeSciences Holdings Corporation,1557666000,963526000,180550000,Medical Specialties
NBN,Northeast Bank,182541000,,44187000,Regional Banks
PTON,"Peloton Interactive, Inc.",2800200000,854700000,-1261700000,Other Consumer Services
IPAR,"Inter Parfums, Inc.",1086653000,694422000,120938000,Household/Personal Care
PFIS,Peoples Financial Services Corp.,123035000,,38090000,Regional Banks
NATH,"Nathan's Famous, Inc.",130785000,48506000,19623000,Restaurants
KLTR,"Kaltura, Inc.",168811000,107170000,-68495000,Packaged Software
BRLL,Barrel Energy Inc,,,,Contract Drilling
ATRX,Adhera Therapeutics Inc.,0,0,-2114000,Pharmaceuticals: Major
AMBS,"Amarantus Bioscience Holdings, Inc.",95331,,-4762305,Biotechnology
UBAB,"United Bancorporation of Alabama, Inc.",61741549,,18684708,Regional Banks
GVA,Granite Construction Incorporated,3301256000,369494000,83302000,Engineering & Construction
NPO,Enpro Inc.,1099200000,423300000,205100000,Industrial Machinery
CSL,Carlisle Companies Incorporated,6596100000,2019100000,921800000,Building Products
RBKB,"Rhinebeck Bancorp, Inc.",54526000,,6997000,Regional Banks
CVV,CVD Equipment Corporation,25813000,6627000,-224000,Electronic Production Equipment
BLMN,"Bloomin' Brands, Inc.",4416508000,580537000,101907000,Restaurants
ATGE,Adtalem Global Education Inc.,1450826000,774100000,96934000,Other Consumer Services
HEES,"H&E Equipment Services, Inc.",1244518000,508514937,134086999.99999999,Finance/Rental/Leasing
IDT,IDT Corporation,1238854000,342984000,40492000,Major Telecommunications
